time            Cj              Ck              Br             
2.224448898e+03 4.332257095e+00 2.581651695e+00 6.759186679e-02
2.230460922e+03 4.332542831e+00 2.582128041e+00 6.673468743e-02
2.236472946e+03 4.332824997e+00 2.582598380e+00 6.588828886e-02
2.242484970e+03 4.333103634e+00 2.583062784e+00 6.505253756e-02
2.248496994e+03 4.333378785e+00 2.583521326e+00 6.422730196e-02
2.254509018e+03 4.333650493e+00 2.583974079e+00 6.341245189e-02
2.260521042e+03 4.333918801e+00 2.584421115e+00 6.260785863e-02
2.266533066e+03 4.334183748e+00 2.584862506e+00 6.181339531e-02
2.272545090e+03 4.334445378e+00 2.585298323e+00 6.102893612e-02
2.278557114e+03 4.334703732e+00 2.585728637e+00 6.025435711e-02
2.284569138e+03 4.334958850e+00 2.586153518e+00 5.948953592e-02
2.290581162e+03 4.335210771e+00 2.586573032e+00 5.873435133e-02
2.296593186e+03 4.335459533e+00 2.586987243e+00 5.798868359e-02
2.302605210e+03 4.335705175e+00 2.587396218e+00 5.725241479e-02
2.308617234e+03 4.335947736e+00 2.587800022e+00 5.652542818e-02
