time            X1              X2              Y1             
6.893787575e+02 2.575740353e+00 1.561639631e+00 3.421802587e-02
6.913827655e+02 2.575860016e+00 1.561829815e+00 3.367505767e-02
6.933867735e+02 2.575977795e+00 1.562016992e+00 3.314066594e-02
6.953907816e+02 2.576093720e+00 1.562201210e+00 3.261471631e-02
6.973947896e+02 2.576207820e+00 1.562382515e+00 3.209707644e-02
6.993987976e+02 2.576320124e+00 1.562560953e+00 3.158761707e-02
7.014028056e+02 2.576430658e+00 1.562736569e+00 3.108620993e-02
7.034068136e+02 2.576539450e+00 1.562909407e+00 3.059272851e-02
7.054108216e+02 2.576646529e+00 1.563079510e+00 3.010704850e-02
7.074148297e+02 2.576751920e+00 1.563246922e+00 2.962904749e-02
7.094188377e+02 2.576855649e+00 1.563411686e+00 2.915860491e-02
7.114228457e+02 2.576957744e+00 1.563573842e+00 2.869560212e-02
7.134268537e+02 2.577058228e+00 1.563733431e+00 2.823992359e-02
7.154308617e+02 2.577157127e+00 1.563890494e+00 2.779145357e-02
7.174348697e+02 2.577254467e+00 1.564045070e+00 2.735007883e-02
7.194388778e+02 2.577350270e+00 1.564197199e+00 2.691568790e-02
7.214428858e+02 2.577444562e+00 1.564346920e+00 2.648817099e-02
7.234468938e+02 2.577537366e+00 1.564494269e+00 2.606741997e-02
7.254509018e+02 2.577628705e+00 1.564639285e+00 2.565332887e-02
7.274549098e+02 2.577718602e+00 1.564782004e+00 2.524579352e-02
7.294589178e+02 2.577807079e+00 1.564922462e+00 2.484471034e-02
7.314629259e+02 2.577894159e+00 1.565060694e+00 2.444997782e-02
7.334669339e+02 2.577979864e+00 1.565196737e+00 2.406149601e-02
7.354709419e+02 2.578064215e+00 1.565330623e+00 2.367916649e-02
7.374749499e+02 2.578147234e+00 1.565462389e+00 2.330289230e-02
7.394789579e+02 2.578228940e+00 1.565592065e+00 2.293257895e-02
7.414829659e+02 2.578309355e+00 1.565719687e+00 2.256813237e-02
7.434869739e+02 2.578388500e+00 1.565845285e+00 2.220945997e-02
7.454909820e+02 2.578466393e+00 1.565968892e+00 2.185647079e-02
7.474949900e+02 2.578543054e+00 1.566090539e+00 2.150907522e-02
7.494989980e+02 2.578618504e+00 1.566210258e+00 2.116718505e-02
7.515030060e+02 2.578692760e+00 1.566328079e+00 2.083071354e-02
7.535070140e+02 2.578765842e+00 1.566444030e+00 2.049957612e-02
7.555110220e+02 2.578837768e+00 1.566558143e+00 2.017368813e-02
7.575150301e+02 2.578908556e+00 1.566670446e+00 1.985296678e-02
7.595190381e+02 2.578978224e+00 1.566780967e+00 1.953733055e-02
7.615230461e+02 2.579046789e+00 1.566889735e+00 1.922669914e-02
7.635270541e+02 2.579114270e+00 1.566996778e+00 1.892099351e-02
7.655310621e+02 2.579180682e+00 1.567102122e+00 1.862013633e-02
